P,Teff
4.9727290e-03,9.9982398e-01
5.0885580e-03,9.9981989e-01
5.2070860e-03,9.9981570e-01
5.3283750e-03,9.9981140e-01
5.4524880e-03,9.9980702e-01
5.5794930e-03,9.9980253e-01
5.7094560e-03,9.9979793e-01
5.8424470e-03,9.9979324e-01
5.9785350e-03,9.9978842e-01
6.1177930e-03,9.9978349e-01
6.2602940e-03,9.9977846e-01
6.4061150e-03,9.9977331e-01
6.5553330e-03,9.9976805e-01
6.7080260e-03,9.9976265e-01
6.8642760e-03,9.9975713e-01
7.0241660e-03,9.9975149e-01
7.1877800e-03,9.9974570e-01
7.3552040e-03,9.9973978e-01
7.5265290e-03,9.9973374e-01
7.7018450e-03,9.9972755e-01
7.8812440e-03,9.9972122e-01
8.0648210e-03,9.9971473e-01
8.2526750e-03,9.9970810e-01
8.4449050e-03,9.9970131e-01
8.6416120e-03,9.9969437e-01
8.8429010e-03,9.9968726e-01
9.0488780e-03,9.9967998e-01
9.2596540e-03,9.9967254e-01
9.4753390e-03,9.9966492e-01
9.6960480e-03,9.9965715e-01
9.9218980e-03,9.9964919e-01
1.0153010e-02,9.9964104e-01
1.0389500e-02,9.9963269e-01
1.0631510e-02,9.9962414e-01
1.0879140e-02,9.9961542e-01
1.1132550e-02,9.9960647e-01
1.1391860e-02,9.9959733e-01
1.1657210e-02,9.9958798e-01
1.1928740e-02,9.9957842e-01
1.2206600e-02,9.9956860e-01
1.2490930e-02,9.9955859e-01
1.2781880e-02,9.9954831e-01
1.3079610e-02,9.9953784e-01
1.3384270e-02,9.9952710e-01
1.3696030e-02,9.9951611e-01
1.4015050e-02,9.9950487e-01
1.4341510e-02,9.9949339e-01
1.4675560e-02,9.9948161e-01
1.5017400e-02,9.9946958e-01
1.5367200e-02,9.9945728e-01
1.5725150e-02,9.9944467e-01
1.6091430e-02,9.9943179e-01
1.6466250e-02,9.9941859e-01
1.6849800e-02,9.9940510e-01
1.7242280e-02,9.9939129e-01
1.7643910e-02,9.9937718e-01
1.8054890e-02,9.9936273e-01
1.8475440e-02,9.9934793e-01
1.8905790e-02,9.9933277e-01
1.9346160e-02,9.9931731e-01
1.9796790e-02,9.9930147e-01
2.0257920e-02,9.9928526e-01
2.0729780e-02,9.9926867e-01
2.1212640e-02,9.9925175e-01
2.1706750e-02,9.9923438e-01
2.2212360e-02,9.9921666e-01
2.2729750e-02,9.9919848e-01
2.3259200e-02,9.9917989e-01
2.3800980e-02,9.9916088e-01
2.4355370e-02,9.9914144e-01
2.4922680e-02,9.9912157e-01
2.5503200e-02,9.9910119e-01
2.6097250e-02,9.9908037e-01
2.6705130e-02,9.9905908e-01
2.7327180e-02,9.9903728e-01
2.7963710e-02,9.9901499e-01
2.8615070e-02,9.9899217e-01
2.9281600e-02,9.9896885e-01
2.9963650e-02,9.9894497e-01
3.0661600e-02,9.9892053e-01
3.1375800e-02,9.9889556e-01
3.2106630e-02,9.9887000e-01
3.2854490e-02,9.9884384e-01
3.3619770e-02,9.9881714e-01
3.4402880e-02,9.9878975e-01
3.5204220e-02,9.9876179e-01
3.6024230e-02,9.9873313e-01
3.6863350e-02,9.9870388e-01
3.7722000e-02,9.9867390e-01
3.8600660e-02,9.9864324e-01
3.9499790e-02,9.9861196e-01
4.0419850e-02,9.9857984e-01
4.1361350e-02,9.9854708e-01
4.2324780e-02,9.9851352e-01
4.3310650e-02,9.9847923e-01
4.4319490e-02,9.9844411e-01
4.5351820e-02,9.9840816e-01
4.6408200e-02,9.9837150e-01
4.7489190e-02,9.9833390e-01
4.8595350e-02,9.9829550e-01
4.9727290e-02,9.9825620e-01
5.0885580e-02,9.9821599e-01
5.2070860e-02,9.9817485e-01
5.3283750e-02,9.9813284e-01
5.4524880e-02,9.9808980e-01
5.5794930e-02,9.9804586e-01
5.7094560e-02,9.9800084e-01
5.8424470e-02,9.9795482e-01
5.9785350e-02,9.9790776e-01
6.1177930e-02,9.9785966e-01
6.2602940e-02,9.9781040e-01
6.4061150e-02,9.9776015e-01
6.5553330e-02,9.9770862e-01
6.7080260e-02,9.9765597e-01
6.8642760e-02,9.9760217e-01
7.0241660e-02,9.9754712e-01
7.1877800e-02,9.9749080e-01
7.3552040e-02,9.9743326e-01
7.5265290e-02,9.9737432e-01
7.7018450e-02,9.9731413e-01
7.8812440e-02,9.9725257e-01
8.0648210e-02,9.9718962e-01
8.2526750e-02,9.9712525e-01
8.4449050e-02,9.9705945e-01
8.6416120e-02,9.9699218e-01
8.8429010e-02,9.9692342e-01
9.0488780e-02,9.9685304e-01
9.2596540e-02,9.9678111e-01
9.4753390e-02,9.9670761e-01
9.6960480e-02,9.9663241e-01
9.9218980e-02,9.9655548e-01
1.0153010e-01,9.9647699e-01
1.0389500e-01,9.9639660e-01
1.0631510e-01,9.9631449e-01
1.0879140e-01,9.9623052e-01
1.1132550e-01,9.9614466e-01
1.1391860e-01,9.9605698e-01
1.1657210e-01,9.9596724e-01
1.1928740e-01,9.9587561e-01
1.2206600e-01,9.9578184e-01
1.2490930e-01,9.9568612e-01
1.2781880e-01,9.9558818e-01
1.3079610e-01,9.9548810e-01
1.3384270e-01,9.9538583e-01
1.3696030e-01,9.9528136e-01
1.4015050e-01,9.9517450e-01
1.4341510e-01,9.9506535e-01
1.4675560e-01,9.9495372e-01
1.5017400e-01,9.9483972e-01
1.5367200e-01,9.9472329e-01
1.5725150e-01,9.9460413e-01
1.6091430e-01,9.9448260e-01
1.6466250e-01,9.9435823e-01
1.6849800e-01,9.9423126e-01
1.7242280e-01,9.9410150e-01
1.7643910e-01,9.9396891e-01
1.8054890e-01,9.9383343e-01
1.8475440e-01,9.9369514e-01
1.8905790e-01,9.9355372e-01
1.9346160e-01,9.9340926e-01
1.9796790e-01,9.9326183e-01
2.0257920e-01,9.9311110e-01
2.0729780e-01,9.9295731e-01
2.1212640e-01,9.9280009e-01
2.1706750e-01,9.9263954e-01
2.2212360e-01,9.9247560e-01
2.2729750e-01,9.9230806e-01
2.3259200e-01,9.9213715e-01
2.3800980e-01,9.9196250e-01
2.4355370e-01,9.9178421e-01
2.4922680e-01,9.9160221e-01
2.5503200e-01,9.9141628e-01
2.6097250e-01,9.9122649e-01
2.6705130e-01,9.9103279e-01
2.7327180e-01,9.9083493e-01
2.7963710e-01,9.9063301e-01
